"Year","Area","Street","Street.2"
2011,"Birmingham","Acocks Green",
2011,"Dudley","Adderly St",
2011,"Dudley"," Alcester Rd, Mosley",
2011,"Walsall","Alcester Rd",
2011,"Wolverhampton","Alcester Rd Moseley",
2011,"Coventry","Alcester Rd Moseley",
2011,"Birmingham","Alfred St",
2011,"Solihull"," All Service Club, Mosley",
2011,"Solihull","Alum Rock Rd",
2011,"Walsall","Alum Rock Rd",
2011,"Wolverhampton","Alum Rock Rd",
2011,"Coventry","Alum Rock Rd",
2011,"Birmingham","Arcadian Centre",
2011,"Dudley"," Arden Rd, Saltley",
2011,"Sandwell"," Asda, Chemsley Wood",
2011,"Walsall"," Balsahll Heath Park, J W Brighton Rd",
2011,"Wolverhampton","Bamford Rd",
2011,"Coventry","Bamford Rd",
2011,"Birmingham","Beechbrook Avenue Sparkhill",
2011,"Wolverhampton","Belchers Lane",
2011,"Solihull","Belchers Lane",
2011,"Walsall","Belchers Lane",
2011,"Wolverhampton"," Belchers Lane, Bordesley Green",
2011,"Coventry","Bell St",
2011,"Birmingham"," Berkley Rd East ,  Haymills ",
2011,"Dudley","Birmingham Airport",
2011,"Solihull","Birmingham International Railway Station",
2011,"Walsall","Bordesley Green",
2011,"Wolverhampton"," Bordesley Green ,  Bordesley Green ",
2011,"Coventry","Bristol Rd",
2011,"Birmingham","Bristol St",
2011,"Solihull","Broad St",
2011,"Solihull","Broad St",
2011,"Walsall","Broad St Birmingham",
2011,"Wolverhampton","Buckland End Lane Shard End",
2011,"Coventry"," Bulls Head Ph, St Marys Row",
2011,"Birmingham"," Bushbury Rd, Kitts Green",
2011,"Dudley","Chartice Rd",
2011,"Sandwell","Chestnut Rd",
2011,"Wolverhampton"," Church Rd, Stechford",
2011,"Sandwell"," Church Rd, Sheldon",
2011,"Birmingham","Clifford Rd Dorridge ",
2011,"Wolverhampton","Clock Lane",
2011,"Sandwell"," Colonial Rd, Bordesley Green ",
2011,"Birmingham"," Corporation St,Birmingham",
2011,"Walsall","Corporation St",
2011,"Coventry","Coventry Rd Small Heath",
2011,"Dudley"," Coventry Rd, Small Heath, Bham",
2011,"Coventry","Coventry Rd",
2011,"Sandwell","Coventry Rd",
2011,"Solihull","Coventry Rd",
2011,"Walsall","Coventry Rd",
2011,"Solihull","Coventry Rd",
2011,"Solihull"," Coventry Rd, Small Heath",
2011,"Walsall"," Coventry Rd, Small Heath",
2011,"Dudley"," Coventry Rd,Small Heath",
2011,"Birmingham","Cranes Park Rd",
2011,"Walsall","Cranes Park Rd Sheldon",
2011,"Birmingham","Crossfield Rd",
2011,"Walsall","Crossfields Rd Kitts Green",
2011,"Sandwell"," Cxhurch Rd, Stechford, Bham",
2011,"Walsall","Digbeth High St",
2011,"Walsall","Edgbaston Rd",
2011,"Wolverhampton","Edward Rd  Moseley",
2011,"Birmingham","Fighting Cox Ph",
2011,"Walsall"," Foremans Rd, Sparkhill",
2011,"Coventry"," Front Office, Kings Heath",
2011,"Wolverhampton"," Garretts Green Rd, Garretts Green",
2011,"Sandwell","Giles Close",
2011,"Solihull"," Giles Close, Stechford",
2011,"Walsall","Glazedale Rd",
2011,"Coventry","Gospel Farm Rd",
2011,"Birmingham","Gospel Farm Rd",
2011,"Walsall","Gospel Lane",
2011,"Walsall","Gospel Lane",
2011,"Walsall","Gospel Lane",
2011,"Sandwell"," Gospel Lane, Acocks Green",
2011,"Wolverhampton"," Grace Church, Sutton Coldfield",
2011,"Walsall","Great Hampton St",
2011,"Solihull","Green Lane",
2011,"Birmingham","Greswell Lane Shard End",
2011,"Solihull"," Harlequin Drive, Mosley",
2011,"Walsall","Haslucks Green Rd",
2011,"Sandwell","Hazeldean Rd",
2011,"Coventry","Heartlands Hospital",
2011,"Birmingham","Heartlands Hospital",
2011,"Walsall","Heartlands Hospital A & E ",
2011,"Walsall","Heartlands Hospital A & E ",
2011,"Coventry","Heartlands Hospital A & E ",
2011,"Wolverhampton","Hepben Grove",
2011,"Sandwell","Herrick Rd",
2011,"Sandwell"," Herrick Rd, Washwood Heath",
2011,"Sandwell"," Herrick Rd, Washwood Heath",
2011,"Coventry","High St Solihull",
2011,"Wolverhampton","High St Kings Heath",
2011,"Wolverhampton","High St Kings Heath",
2011,"Sandwell"," High St, Kings Heath",
2011,"Wolverhampton","Hob Moor Rd At Starbank Rd",
2011,"Coventry","Holloway Head Bham City Centre",
2011,"Birmingham","Hollywell Rd",
2011,"Solihull","Home Address",
2011,"Wolverhampton","Home Address",
2011,"Dudley","Homer St",
2011,"Wolverhampton","Hunters Moon Public House ",
2011,"Solihull","Hurst St",
2011,"Sandwell","Hurst St",
2011,"Sandwell","Hurst St",
2011,"Dudley"," Hurst St, Birmingham",
2011,"Coventry","Kings Heath High St",
2011,"Wolverhampton"," Knowle Rd, Small Heath, Bham",
2011,"Walsall","Ladypool Rd",
2011,"Solihull","Ladypool Rd",
2011,"Sandwell","Ladywell Walk",
2011,"Birmingham","Lea Hall Rd",
2011,"Sandwell","Lea Hall Rd",
2011,"Birmingham"," Lea Village, Stechford",
2011,"Coventry"," Lenches Close, Mosley",
2011,"Sandwell","Lime Tree Rd",
2011,"Solihull","Lode Lane   Hermitage Rd",
2011,"Dudley","Long St",
2011,"Birmingham","Long St  Sparkhill",
2011,"Wolverhampton","Longbridge Lane",
2011,"Solihull"," Longmeadow Crescent Shard End , Bham",
2011,"Birmingham","Maccadown Lane",
2011,"Wolverhampton","Masshouse Lane",
2011,"Wolverhampton","Meadwaym Stechford",
2011,"Wolverhampton"," Mickleover Rd, Bromford",
2011,"Coventry","Moorcroft Rd",
2011,"Sandwell","Moseley Rd",
2011,"Wolverhampton","Moseley Rd",
2011,"Coventry","Moseley Rd",
2011,"Coventry","Moseley Rd",
2011,"Walsall","Moseley Village",
2011,"Sandwell","Moseley Village",
2011,"Coventry"," Moseley Village, Alcester Rd",
2011,"Sandwell"," Mosley All Services Club, Church Rd, Moseley ",
2011,"Solihull","Nearlands Close Quinton",
2011,"Wolverhampton","New St",
2011,"Sandwell","Northfield High St",
2011,"Sandwell"," O S Behans, Highfield Rd, Billesley",
2011,"Birmingham"," O S The Junction, Mosley Village",
2011,"Solihull","O S Washwood Heath Rd",
2011,"Wolverhampton"," Oakhill Rd, Acocks Green",
2011,"Sandwell","Opp White Hart Lane Cooks Lane",
2011,"Birmingham"," Opposite, Aldi, Stratford Rd",
2011,"Sandwell","Outside Java Lounge Alcester Rd",
2011,"Dudley","Outside O2 Academy Night Club B Ham City Centre",
2011,"Coventry","Outside Raven Public House",
2011,"Solihull"," Packington Avenue, Shard End",
2011,"Dudley","Park Off Hob Moor Rd",
2011,"Solihull","Parkhall Croft",
2011,"Wolverhampton","Pear Tree Ph",
2011,"Coventry","Police Station",
2011,"Sandwell","Police Station Stechford",
2011,"Birmingham","Poplar Rd",
2011,"Dudley","Poplar Rd",
2011,"Coventry"," Poplar Rd , Solihull",
2011,"Dudley"," Poplar Rd, Solihull",
2011,"Sandwell","Preston Rd",
2011,"Walsall"," Priory Rd, Hall Green",
2011,"Coventry","Prospect Rd",
2011,"Wolverhampton","Queenswood Rd",
2011,"Wolverhampton"," Rear Of Boots, High St",
2011,"Sandwell"," Reddings Lane, Tsyley",
2011,"Solihull"," Richmond Primary Care Centre, Richmond Rd, Stechford",
2011,"Sandwell"," Ring Rd, Stourbridge",
2011,"Coventry"," Sainsburys, Wawrick Rd",
2011,"Birmingham","Sainsburys  Alcester Rd South",
2011,"Walsall","Sandford Rd Moseley",
2011,"Wolverhampton","Sarehole Mill",
2011,"Wolverhampton","Sedgemere Rd",
2011,"Sandwell","Shirley Rd",
2011,"Wolverhampton","Shirley Rd",
2011,"Coventry","Snow Hill",
2011,"Solihull","Solihull Lane",
2011,"Dudley"," St Mary S Rd, Moseley",
2011,"Sandwell","St Marys Row",
2011,"Sandwell","Station Rd",
2011,"Sandwell"," Station Way, Birmingham International Rail Station",
2011,"Solihull","Stechford Front Office",
2011,"Coventry","Stechford P S ",
2011,"Walsall","Stechford Retail Park ",
2011,"Walsall","Stonehenge Croft Druids Heath",
2011,"Birmingham","Stoney Lane",
2011,"Sandwell","Stoney Lane",
2011,"Walsall","Stoney Lane",
2011,"Wolverhampton"," Stratford Heath, Spark Hill, Birmingham",
2011,"Walsall","Stratford Rd",
2011,"Wolverhampton","Stratford Rd",
2011,"Walsall","Stratford Rd",
2011,"Coventry"," Stratford Rd, Hall Green",
2011,"Dudley","Stratford Roads",
2011,"Solihull"," Stuart Rd, Stechford",
2011,"Birmingham","Talbort St",
2011,"Birmingham","Taunton Rd",
2011,"Solihull","Tavistock Rd",
2011,"Birmingham","The Avenue",
2011,"Walsall","The Paer Tree Pub",
2011,"Wolverhampton","Trafalger Rd",
2011,"Dudley","Wake Green Rd",
2011,"Coventry","Ward End Rd",
2011,"Wolverhampton","Warwick Rd",
2011,"Wolverhampton","Warwick Rd",
2011,"Wolverhampton","Warwick Rd",
2011,"Wolverhampton","Warwick Rd",
2011,"Wolverhampton","Warwick Rd",
2011,"Wolverhampton","Warwick Rd Tysley",
2011,"Wolverhampton","Wash Lane",
2011,"Wolverhampton","Washford Heath Rd",
2011,"Birmingham","Washwood Heath Pub",
2011,"Walsall"," Washwood Heath Rd, Washwood Heath, Bham",
2011,"Solihull","Washwood Heath Rd",
2011,"Sandwell","Washwood Heath Rd",
2011,"Solihull","Washwood Heath Rd",
2011,"Walsall","Washwood Heath Rd",
2011,"Sandwell"," Watery Lane Middleway, Birmingham",
2011,"Walsall","Wawrick Rd",
2011,"Sandwell"," Welshfarm Rd, Quinton",
2011,"Walsall","Westley Rd",
2011,"Wolverhampton"," Westley Rd, Acocks Green",
2011,"Dudley","White Hart Public House",
2011,"Sandwell","White Hart Public House",
2011,"Birmingham"," Whiteheart Pub, Gressell Lane",
2011,"Solihull"," William Hill Bookmakers, Washwood Heath Rd",
2011,"Birmingham"," William Hill Bookmakers, Washwood Heath Rd",
2011,"Walsall","William Hill Washwood Heath Rd",
2011,"Dudley","Windward Rd",
2011,"Dudley","Windward Rd",
2011,"Dudley"," Wood End Rd, Erdington",
2011,"Sandwell"," Woodbridge Rd, Moseley",
2011,"Dudley","Wright St",
2011,"Wolverhampton","Yardley Green Rd",
2011,"Wolverhampton","Yardley Rd Acocks Green",
2011,"Walsall","Yardley Wood Rd",
2011,"Walsall","Yardley Wood Rd",
2011,"Birmingham","Yew Tree Car Park",
2011,"Birmingham","Yew Tree Lane",
2011,"Coventry","Yew Tree Public House Car Park ",
2011,"Walsall"," Armada Pub, Slade Rd, Erdington, Birmingham",
2011,"Solihull"," Armarda Pub,  Gravelly Hill",
2011,"Coventry"," Armarda Pub, Gravelly Hill",
2011,"Birmingham","Badgers Bank Rd",
2011,"Dudley"," Baldmoor Lake Rd, Erdington, Birmingham ",
2011,"Wolverhampton"," Bandywood Rd, Kingstanding",
2011,"Sandwell","Beckenham Rd",
2011,"Birmingham","Beeches Walk",
2011,"Birmingham","Birmingham Rd",
2011,"Solihull","Birmingham Rd",
2011,"Birmingham"," Birmingham Rd, Sc",
2011,"Solihull","Birmingham Rd",
2011,"Birmingham","Birmingham Rd",
2011,"Walsall","Birmingham Rd Sutton",
2011,"Dudley"," Birmingham Rd, Erdington",
2011,"Wolverhampton"," Birmingham Rd, Sutton Coldfield",
2011,"Birmingham"," Birmingham Rd, Sutton Coldfield",
2011,"Birmingham","Bowling Green Close",
2011,"Wolverhampton"," Bracebridge Rd, Erdington",
2011,"Dudley","Brassington Avenue",
2011,"Wolverhampton","Bromford Lane",
2011,"Coventry"," Bromford Lane, Erdington, B Ham",
2011,"Wolverhampton","Brookvale Park Rd",
2011,"Walsall"," Carhampton Rd, Falcon Lodge, Sutton Colfield",
2011,"Walsall","Carshalton Rd",
2011,"Solihull","Carshorlton Rd",
2011,"Dudley","Chester Rd",
2011,"Coventry","Chester Rd",
2011,"Solihull"," Chester Rd, Halls Garden Centre",
2011,"Birmingham","Church Rd At Chester Rd",
2011,"Wolverhampton"," College Rd, Kingstanding, B Ham",
2011,"Solihull"," College Rd, Kingstanding, B Ham",
2011,"Dudley"," Copshill Court, Mount View, Sutton Coldfield",
2011,"Solihull"," Dovedale Rd, Erdington, B Ham",
2011,"Coventry"," Downside Rd, Erdington, B Ham",
2011,"Wolverhampton"," Eachelhurt Rd, Erdington",
2011,"Dudley","Erdington Hall Rd",
2011,"Walsall","Erdington Hall Rd",
2011,"Dudley","Erdington High St",
2011,"Dudley"," Fentham Rd, Erdington, B Ham",
2011,"Wolverhampton","Finchley Rd",
2011,"Birmingham"," Finchley Rd, Kingstanding, B Ham",
2011,"Sandwell","George Frederick Rd",
